Elapsed time,ECG
hh:mm:ss.mmm,mV
0:00.000,-17
0:00.002,-16
0:00.004,-14
0:00.006,-15
0:00.008,-19
0:00.010,-18
0:00.012,-20
0:00.014,-20
0:00.016,-20
0:00.018,-17
0:00.020,-12
0:00.022,-9
0:00.024,-11
0:00.026,-12
0:00.028,-14
0:00.030,-16
0:00.032,-17
0:00.034,-16
0:00.036,-14
0:00.038,-8
0:00.040,-10
0:00.042,-9
0:00.044,-8
0:00.046,-8
0:00.048,-11
0:00.050,-12
0:00.052,-11
0:00.054,-11
0:00.056,-11
0:00.058,-9
0:00.060,-8
0:00.062,-9
0:00.064,-8
0:00.066,-6
0:00.068,-7
0:00.070,-9
0:00.072,-11
0:00.074,-11
0:00.076,-10
0:00.078,-4
0:00.080,-3
0:00.082,-2
0:00.084,1
0:00.086,0
0:00.088,-1
0:00.090,-5
0:00.092,-7
0:00.094,-6
0:00.096,-6
0:00.098,-3
0:00.100,-1
0:00.102,0
0:00.104,2
0:00.106,4
0:00.108,0
0:00.110,-1
0:00.112,1
0:00.114,1
0:00.116,2
0:00.118,5
0:00.120,8
0:00.122,11
0:00.124,12
0:00.126,9
0:00.128,8
0:00.130,9
0:00.132,8
0:00.134,8
0:00.136,14
0:00.138,15
0:00.140,18
0:00.142,21
0:00.144,21
0:00.146,23
0:00.148,21
0:00.150,20
0:00.152,20
0:00.154,19
0:00.156,25
0:00.158,31
0:00.160,32
0:00.162,32
0:00.164,35
0:00.166,35
0:00.168,31
0:00.170,32
0:00.172,30
0:00.174,30
0:00.176,32
0:00.178,36
0:00.180,38
0:00.182,38
0:00.184,40
0:00.186,38
0:00.188,36
0:00.190,35
0:00.192,33
0:00.194,32
0:00.196,33
0:00.198,31
0:00.200,33
0:00.202,33
0:00.204,34
0:00.206,29
0:00.208,27
0:00.210,22
0:00.212,18
0:00.214,14
0:00.216,15
0:00.218,17
0:00.220,17
0:00.222,14
0:00.224,14
0:00.226,10
0:00.228,8
0:00.230,5
0:00.232,1
0:00.234,-1
0:00.236,0
0:00.238,0
0:00.240,1
0:00.242,2
0:00.244,0
0:00.246,2
0:00.248,3
0:00.250,6
0:00.252,7
0:00.254,9
0:00.256,13
0:00.258,17
0:00.260,18
0:00.262,24
0:00.264,23
0:00.266,18
0:00.268,17
0:00.270,14
0:00.272,16
0:00.274,16
0:00.276,18
0:00.278,19
0:00.280,22
0:00.282,23
0:00.284,26
0:00.286,23
0:00.288,20
0:00.290,19
0:00.292,19
0:00.294,19
0:00.296,20
0:00.298,22
0:00.300,24
0:00.302,25
0:00.304,28
0:00.306,27
0:00.308,23
0:00.310,23
0:00.312,23
0:00.314,23
0:00.316,25
0:00.318,26
0:00.320,25
0:00.322,28
0:00.324,28
0:00.326,28
0:00.328,26
0:00.330,21
0:00.332,20
0:00.334,20
0:00.336,26
0:00.338,28
0:00.340,27
0:00.342,30
0:00.344,29
0:00.346,26
0:00.348,25
0:00.350,25
0:00.352,23
0:00.354,24
0:00.356,25
0:00.358,28
0:00.360,28
0:00.362,30
0:00.364,29
0:00.366,28
0:00.368,27
0:00.370,28
0:00.372,25
0:00.374,25
0:00.376,27
0:00.378,29
0:00.380,29
0:00.382,28
0:00.384,27
0:00.386,24
0:00.388,24
0:00.390,22
0:00.392,23
0:00.394,24
0:00.396,27
0:00.398,27
0:00.400,26
0:00.402,27
0:00.404,26
0:00.406,22
0:00.408,22
0:00.410,22
0:00.412,21
0:00.414,23
0:00.416,25
0:00.418,26
0:00.420,23
0:00.422,24
0:00.424,23
0:00.426,21
0:00.428,20
0:00.430,21
0:00.432,18
0:00.434,20
0:00.436,21
0:00.438,22
0:00.440,24
0:00.442,27
0:00.444,24
0:00.446,22
0:00.448,19
0:00.450,20
0:00.452,19
0:00.454,20
0:00.456,22
0:00.458,22
0:00.460,23
0:00.462,23
0:00.464,19
0:00.466,16
0:00.468,15
0:00.470,14
0:00.472,14
0:00.474,15
0:00.476,18
0:00.478,17
0:00.480,20
0:00.482,25
0:00.484,22
0:00.486,21
0:00.488,15
0:00.490,16
0:00.492,13
0:00.494,15
0:00.496,16
0:00.498,18
0:00.500,20
0:00.502,23
0:00.504,21
0:00.506,18
0:00.508,17
0:00.510,18
0:00.512,17
0:00.514,19
0:00.516,22
0:00.518,27
0:00.520,26
0:00.522,27
0:00.524,25
0:00.526,24
0:00.528,22
0:00.530,21
0:00.532,19
0:00.534,22
0:00.536,28
0:00.538,27
0:00.540,28
0:00.542,28
0:00.544,26
0:00.546,25
0:00.548,24
0:00.550,21
0:00.552,20
0:00.554,24
0:00.556,30
0:00.558,32
0:00.560,32
0:00.562,34
0:00.564,32
0:00.566,24
0:00.568,23
0:00.570,23
0:00.572,19
0:00.574,19
0:00.576,20
0:00.578,19
0:00.580,18
0:00.582,18
0:00.584,17
0:00.586,11
0:00.588,13
0:00.590,12
0:00.592,13
0:00.594,15
0:00.596,16
0:00.598,16
0:00.600,19
0:00.602,15
0:00.604,11
0:00.606,10
0:00.608,9
0:00.610,7
0:00.612,9
0:00.614,9
0:00.616,11
0:00.618,12
0:00.620,12
0:00.622,12
0:00.624,12
0:00.626,10
0:00.628,7
0:00.630,4
0:00.632,5
0:00.634,7
0:00.636,9
0:00.638,11
0:00.640,12
0:00.642,11
0:00.644,7
0:00.646,5
0:00.648,6
0:00.650,4
0:00.652,6
0:00.654,10
0:00.656,6
0:00.658,8
0:00.660,10
0:00.662,8
0:00.664,5
0:00.666,0
0:00.668,-2
0:00.670,-5
0:00.672,-6
0:00.674,-5
0:00.676,-3
0:00.678,-1
0:00.680,6
0:00.682,13
0:00.684,22
0:00.686,32
0:00.688,40
0:00.690,51
0:00.692,67
0:00.694,85
0:00.696,106
0:00.698,129
0:00.700,144
0:00.702,147
0:00.704,137
0:00.706,126
0:00.708,114
0:00.710,97
0:00.712,82
0:00.714,67
0:00.716,46
0:00.718,20
0:00.720,2
0:00.722,-12
0:00.724,-20
0:00.726,-20
0:00.728,-18
0:00.730,-17
0:00.732,-12
0:00.734,-4
0:00.736,2
0:00.738,7
0:00.740,8
0:00.742,7
0:00.744,3
0:00.746,-1
0:00.748,-4
0:00.750,-5
0:00.752,-2
0:00.754,0
0:00.756,1
0:00.758,5
0:00.760,5
0:00.762,4
0:00.764,0
0:00.766,1
0:00.768,-3
0:00.770,-4
0:00.772,-2
0:00.774,-2
0:00.776,0
0:00.778,2
0:00.780,0
0:00.782,1
0:00.784,1
0:00.786,-1
0:00.788,0
0:00.790,-2
0:00.792,0
0:00.794,3
0:00.796,4
0:00.798,5
0:00.800,8
0:00.802,5
0:00.804,2
0:00.806,0
0:00.808,-1
0:00.810,-1
0:00.812,1
0:00.814,5
0:00.816,5
0:00.818,6
0:00.820,5
0:00.822,2
0:00.824,4
0:00.826,1
0:00.828,2
0:00.830,1
0:00.832,3
0:00.834,4
0:00.836,7
0:00.838,8
0:00.840,10
0:00.842,10
0:00.844,9
0:00.846,8
0:00.848,5
0:00.850,6
0:00.852,6
0:00.854,8
0:00.856,9
0:00.858,11
0:00.860,12
0:00.862,13
0:00.864,13
0:00.866,14
0:00.868,14
0:00.870,13
0:00.872,16
0:00.874,19
0:00.876,21
0:00.878,21
0:00.880,24
0:00.882,23
0:00.884,23
0:00.886,22
0:00.888,20
0:00.890,20
0:00.892,23
0:00.894,26
0:00.896,30
0:00.898,31
0:00.900,32
0:00.902,30
0:00.904,32
0:00.906,33
0:00.908,31
0:00.910,32
0:00.912,35
0:00.914,40
0:00.916,41
0:00.918,42
0:00.920,41
0:00.922,39
0:00.924,37
0:00.926,36
0:00.928,36
0:00.930,36
0:00.932,36
0:00.934,40
0:00.936,41
0:00.938,41
0:00.940,39
0:00.942,34
0:00.944,30
0:00.946,27
0:00.948,26
0:00.950,25
0:00.952,26
0:00.954,23
0:00.956,26
0:00.958,26
0:00.960,23
0:00.962,19
0:00.964,16
0:00.966,14
0:00.968,11
0:00.970,6
0:00.972,3
0:00.974,5
0:00.976,5
0:00.978,4
0:00.980,2
0:00.982,-1
0:00.984,-4
0:00.986,-5
0:00.988,-7
0:00.990,-6
0:00.992,-2
0:00.994,0
0:00.996,-2
0:00.998,-1
0:01.000,-2
0:01.002,-6
0:01.004,-8
0:01.006,-11
0:01.008,-13
0:01.010,-11
0:01.012,-8
0:01.014,-9
0:01.016,-5
0:01.018,-7
0:01.020,-6
0:01.022,-10
0:01.024,-11
0:01.026,-12
0:01.028,-12
0:01.030,-9
0:01.032,-9
0:01.034,-7
0:01.036,-4
0:01.038,-6
0:01.040,-6
0:01.042,-10
0:01.044,-11
0:01.046,-11
0:01.048,-12
0:01.050,-11
0:01.052,-10
0:01.054,-8
0:01.056,-11
0:01.058,-6
0:01.060,-11
0:01.062,-10
0:01.064,-10
0:01.066,-12
0:01.068,-12
0:01.070,-9
0:01.072,-8
0:01.074,-8
0:01.076,-8
0:01.078,-8
0:01.080,-10
0:01.082,-11
0:01.084,-11
0:01.086,-12
0:01.088,-11
0:01.090,-6
0:01.092,-6
0:01.094,-5
0:01.096,-4
0:01.098,-3
0:01.100,-5
0:01.102,-7
0:01.104,-9
0:01.106,-10
0:01.108,-11
0:01.110,-9
0:01.112,-8
0:01.114,-4
0:01.116,-3
0:01.118,-2
0:01.120,-3
0:01.122,-4
0:01.124,-6
0:01.126,-7
0:01.128,-8
0:01.130,-6
0:01.132,-6
0:01.134,-5
0:01.136,-3
0:01.138,-3
0:01.140,-5
0:01.142,-4
0:01.144,-7
0:01.146,-8
0:01.148,-9
0:01.150,-9
0:01.152,-6
0:01.154,-5
0:01.156,-1
0:01.158,-2
0:01.160,-6
0:01.162,-6
0:01.164,-7
0:01.166,-10
0:01.168,-12
0:01.170,-8
0:01.172,-8
0:01.174,-6
0:01.176,-4
0:01.178,-5
0:01.180,-8
0:01.182,-9
0:01.184,-4
0:01.186,-10
0:01.188,-11
0:01.190,-8
0:01.192,-6
0:01.194,-7
0:01.196,-3
0:01.198,-4
0:01.200,-8
0:01.202,-10
0:01.204,-11
0:01.206,-12
0:01.208,-12
0:01.210,-11
0:01.212,-8
0:01.214,-8
0:01.216,-7
0:01.218,-4
0:01.220,-7
0:01.222,-9
0:01.224,-10
0:01.226,-14
0:01.228,-14
0:01.230,-10
0:01.232,-9
0:01.234,-7
0:01.236,-7
0:01.238,-7
0:01.240,-9
0:01.242,-11
0:01.244,-10
0:01.246,-10
0:01.248,-8
0:01.250,-7
0:01.252,-5
0:01.254,-1
0:01.256,-2
0:01.258,-5
0:01.260,-8
0:01.262,-6
0:01.264,-7
0:01.266,-8
0:01.268,-8
0:01.270,-5
0:01.272,-3
0:01.274,-2
0:01.276,3
0:01.278,-1
0:01.280,-1
0:01.282,-3
0:01.284,-4
0:01.286,-5
0:01.288,-5
0:01.290,-2
0:01.292,1
0:01.294,3
0:01.296,4
0:01.298,3
0:01.300,1
0:01.302,1
0:01.304,0
0:01.306,0
0:01.308,0
0:01.310,0
0:01.312,1
0:01.314,4
0:01.316,6
0:01.318,4
0:01.320,-2
0:01.322,-5
0:01.324,-7
0:01.326,-11
0:01.328,-10
0:01.330,-9
0:01.332,-8
0:01.334,-9
0:01.336,-5
0:01.338,-7
0:01.340,-12
0:01.342,-12
0:01.344,-14
0:01.346,-16
0:01.348,-13
0:01.350,-11
0:01.352,-10
0:01.354,-10
0:01.356,-7
0:01.358,-11
0:01.360,-11
0:01.362,-12
0:01.364,-13
0:01.366,-13
0:01.368,-12
0:01.370,-13
0:01.372,-13
0:01.374,-13
0:01.376,-13
0:01.378,-13
0:01.380,-16
0:01.382,-17
0:01.384,-16
0:01.386,-20
0:01.388,-18
0:01.390,-16
0:01.392,-12
0:01.394,-9
0:01.396,-9
0:01.398,-11
0:01.400,-12
0:01.402,-17
0:01.404,-17
0:01.406,-20
0:01.408,-20
0:01.410,-16
0:01.412,-15
0:01.414,-14
0:01.416,-15
0:01.418,-19
0:01.420,-21
0:01.422,-23
0:01.424,-28
0:01.426,-31
0:01.428,-27
0:01.430,-21
0:01.432,-9
0:01.434,4
0:01.436,15
0:01.438,25
0:01.440,34
0:01.442,45
0:01.444,55
0:01.446,78
0:01.448,103
0:01.450,128
0:01.452,138
0:01.454,132
0:01.456,123
0:01.458,111
0:01.460,97
0:01.462,78
0:01.464,61
0:01.466,39
0:01.468,17
0:01.470,-6
0:01.472,-23
0:01.474,-31
0:01.476,-29
0:01.478,-25
0:01.480,-23
0:01.482,-22
0:01.484,-17
0:01.486,-10
0:01.488,-11
0:01.490,-6
0:01.492,-7
0:01.494,-9
0:01.496,-8
0:01.498,-8
0:01.500,-13
0:01.502,-14
0:01.504,-16
0:01.506,-15
0:01.508,-14
0:01.510,-12
0:01.512,-10
0:01.514,-6
0:01.516,-9
0:01.518,-9
0:01.520,-11
0:01.522,-12
0:01.524,-11
0:01.526,-12
0:01.528,-8
0:01.530,-7
0:01.532,-5
0:01.534,-2
0:01.536,-5
0:01.538,-9
0:01.540,-10
0:01.542,-11
0:01.544,-10
0:01.546,-11
0:01.548,-6
0:01.550,-5
0:01.552,-4
0:01.554,-2
0:01.556,-2
0:01.558,-4
0:01.560,-6
0:01.562,-5
0:01.564,-4
0:01.566,-3
0:01.568,1
0:01.570,4
0:01.572,5
0:01.574,5
0:01.576,3
0:01.578,1
0:01.580,-2
0:01.582,-2
0:01.584,-2
0:01.586,2
0:01.588,3
0:01.590,5
0:01.592,9
0:01.594,12
0:01.596,13
0:01.598,10
0:01.600,8
0:01.602,9
0:01.604,8
0:01.606,9
0:01.608,9
0:01.610,12
0:01.612,13
0:01.614,14
0:01.616,13
0:01.618,13
0:01.620,13
0:01.622,13
0:01.624,15
0:01.626,16
0:01.628,20
0:01.630,23
0:01.632,25
0:01.634,26
0:01.636,28
0:01.638,28
0:01.640,30
0:01.642,27
0:01.644,26
0:01.646,28
0:01.648,34
0:01.650,35
0:01.652,38
0:01.654,40
0:01.656,41
0:01.658,38
0:01.660,40
0:01.662,40
0:01.664,39
0:01.666,42
0:01.668,45
0:01.670,47
0:01.672,46
0:01.674,48
0:01.676,45
0:01.678,45
0:01.680,41
0:01.682,40
0:01.684,38
0:01.686,38
0:01.688,41
0:01.690,41
0:01.692,44
0:01.694,46
0:01.696,41
0:01.698,39
0:01.700,35
0:01.702,33
0:01.704,31
0:01.706,30
0:01.708,28
0:01.710,27
0:01.712,26
0:01.714,22
0:01.716,21
0:01.718,17
0:01.720,15
0:01.722,13
0:01.724,12
0:01.726,13
0:01.728,12
0:01.730,12
0:01.732,10
0:01.734,9
0:01.736,8
0:01.738,4
0:01.740,2
0:01.742,0
0:01.744,0
0:01.746,2
0:01.748,3
0:01.750,2
0:01.752,4
0:01.754,2
0:01.756,0
0:01.758,-4
0:01.760,-4
0:01.762,-8
0:01.764,-7
0:01.766,-5
0:01.768,-3
0:01.770,-1
0:01.772,1
0:01.774,-1
0:01.776,-4
0:01.778,-5
0:01.780,-5
0:01.782,-5
0:01.784,-5
0:01.786,-5
0:01.788,-2
0:01.790,1
0:01.792,3
0:01.794,2
0:01.796,1
0:01.798,-4
0:01.800,-3
0:01.802,-3
0:01.804,-4
0:01.806,-5
0:01.808,-4
0:01.810,-4
0:01.812,0
0:01.814,3
0:01.816,-1
0:01.818,-2
0:01.820,-4
0:01.822,-6
0:01.824,-6
0:01.826,-3
0:01.828,0
0:01.830,2
0:01.832,3
0:01.834,3
0:01.836,-1
0:01.838,-2
0:01.840,-7
0:01.842,-5
0:01.844,-5
0:01.846,-4
0:01.848,1
0:01.850,3
0:01.852,4
0:01.854,5
0:01.856,0
0:01.858,-2
0:01.860,-5
0:01.862,-7
0:01.864,-4
0:01.866,-2
0:01.868,1
0:01.870,1
0:01.872,2
0:01.874,3
0:01.876,0
0:01.878,-1
0:01.880,-4
0:01.882,-5
0:01.884,-5
0:01.886,-3
0:01.888,0
0:01.890,1
0:01.892,3
0:01.894,4
0:01.896,0
0:01.898,-3
0:01.900,-4
0:01.902,-6
0:01.904,-5
0:01.906,-1
0:01.908,-1
0:01.910,0
0:01.912,2
0:01.914,3
0:01.916,1
0:01.918,-2
0:01.920,-3
0:01.922,-4
0:01.924,-3
0:01.926,-1
0:01.928,-1
0:01.930,-1
0:01.932,-2
0:01.934,-2
0:01.936,-2
0:01.938,-3
0:01.940,-5
0:01.942,-5
0:01.944,-4
0:01.946,-2
0:01.948,-2
0:01.950,-1
0:01.952,-1
0:01.954,-2
0:01.956,-5
0:01.958,-5
0:01.960,-5
0:01.962,-7
0:01.964,-6
0:01.966,-4
0:01.968,-2
0:01.970,-1
0:01.972,-2
0:01.974,-3
0:01.976,-5
0:01.978,-6
0:01.980,-7
0:01.982,-8
0:01.984,-5
0:01.986,-4
0:01.988,-3
0:01.990,-1
0:01.992,0
0:01.994,-2
0:01.996,-5
0:01.998,-6
0:02.000,-9
0:02.002,-9
0:02.004,-9
0:02.006,-7
0:02.008,-8
0:02.010,-5
0:02.012,-2
0:02.014,-5
0:02.016,-8
0:02.018,-8
0:02.020,-6
0:02.022,-7
0:02.024,-8
0:02.026,-5
0:02.028,-4
0:02.030,-3
0:02.032,-1
0:02.034,-2
0:02.036,-5
0:02.038,-8
0:02.040,-9
0:02.042,-8
0:02.044,-4
0:02.046,-3
0:02.048,-2
0:02.050,0
0:02.052,-1
0:02.054,-2
0:02.056,-2
0:02.058,-3
0:02.060,0
0:02.062,2
0:02.064,5
0:02.066,13
0:02.068,14
0:02.070,17
0:02.072,20
0:02.074,20
0:02.076,18
0:02.078,18
0:02.080,19
0:02.082,17
0:02.084,20
0:02.086,21
0:02.088,22
0:02.090,24
0:02.092,25
0:02.094,26
0:02.096,29
0:02.098,31
0:02.100,29
0:02.102,27
0:02.104,30
0:02.106,33
0:02.108,36
0:02.110,37
0:02.112,35
0:02.114,34
0:02.116,33
0:02.118,35
0:02.120,34
0:02.122,32
0:02.124,34
0:02.126,34
0:02.128,34
0:02.130,33
0:02.132,32
0:02.134,30
0:02.136,27
0:02.138,23
0:02.140,23
0:02.142,21
0:02.144,22
0:02.146,24
0:02.148,25
0:02.150,26
0:02.152,28
0:02.154,25
0:02.156,25
0:02.158,24
0:02.160,22
0:02.162,19
0:02.164,19
0:02.166,19
0:02.168,21
0:02.170,23
0:02.172,24
0:02.174,21
0:02.176,19
0:02.178,16
0:02.180,15
0:02.182,15
0:02.184,18
0:02.186,22
0:02.188,23
